y,x,t,y_image,x_image,retrieval_local_zenith_angle,quantitative_local_zenith_angle,retrieval_solar_zenith_angle,day_solar_zenith_angle,night_solar_zenith_angle,sst_c,time
0.13227198,-0.003471993,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,18.942791,2020-07-28T00:30:05.934142976
0.13227198,-0.0023519925,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,18.05526,2020-07-28T00:30:05.934142976
0.13227198,-0.0012319923,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,16.174263,2020-07-28T00:30:05.934142976
0.13227198,-0.00011199266,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,15.740236,2020-07-28T00:30:05.934142976
0.13227198,0.001008007,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,17.092037,2020-07-28T00:30:05.934142976
0.13227198,0.0032480075,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,17.224503,2020-07-28T00:30:05.934142976
0.13227198,0.004368007,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,17.411285,2020-07-28T00:30:05.934142976
0.13227198,0.0054880073,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,17.881348,2020-07-28T00:30:05.934142976
0.13227198,0.006608007,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,17.27353,2020-07-28T00:30:05.934142976
0.13227198,0.0077280076,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,15.007868,2020-07-28T00:30:05.934142976
0.13227198,0.008848007,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,14.45874,2020-07-28T00:30:05.934142976
0.13227198,0.009968007,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,13.925262,2020-07-28T00:30:05.934142976
0.13227198,0.011088007,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,14.51429,2020-07-28T00:30:05.934142976
0.13227198,0.012208007,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,13.9496765,2020-07-28T00:30:05.934142976
0.13227198,0.016688008,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,16.046448,2020-07-28T00:30:05.934142976
0.13227198,0.017808009,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,15.526347,2020-07-28T00:30:05.934142976
0.13227198,0.01892801,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,15.23864,2020-07-28T00:30:05.934142976
0.13227198,0.020048007,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,14.158424,2020-07-28T00:30:05.934142976
0.13227198,0.035728008,2020-07-28 00:30:05.934142976,0.0,0.0,90.0,67.0,180.0,85.0,95.0,7.4912786,2020-07-28T00:30:05.934142976
